,income,incomePredicted
24402, <=50K, <=50K
24403, <=50K, <=50K
24404, <=50K, <=50K
24405, <=50K, <=50K
24406, <=50K, <=50K
24407, >50K, <=50K
24408, <=50K, <=50K
24409, >50K, <=50K
24410, <=50K, <=50K
24411, <=50K, <=50K
24412, <=50K, <=50K
24413, <=50K, <=50K
24414, <=50K, <=50K
24415, >50K, <=50K
24416, <=50K, <=50K
24417, <=50K, <=50K
24418, <=50K, <=50K
24419, >50K, <=50K
24420, <=50K, <=50K
24421, <=50K, <=50K
24422, <=50K, <=50K
24423, <=50K, <=50K
24424, >50K, <=50K
24425, <=50K, <=50K
24426, <=50K, <=50K
24427, >50K, <=50K
24428, <=50K, <=50K
24429, <=50K, <=50K
24430, <=50K, <=50K
24431, <=50K, <=50K
24432, <=50K, <=50K
24433, <=50K, <=50K
24434, <=50K, <=50K
24435, >50K, <=50K
24436, >50K, <=50K
24437, <=50K, <=50K
24438, <=50K, <=50K
24439, <=50K, <=50K
24440, >50K, >50K
24441, >50K, >50K
24442, >50K, <=50K
24443, <=50K, >50K
24444, <=50K, <=50K
24445, <=50K, <=50K
24446, <=50K, <=50K
24447, <=50K, <=50K
24448, <=50K, <=50K
24449, <=50K, <=50K
24450, >50K, <=50K
24451, <=50K, <=50K
24452, >50K, <=50K
24453, >50K, <=50K
24454, >50K, >50K
24455, <=50K, <=50K
24456, >50K, <=50K
24457, <=50K, <=50K
24458, <=50K, <=50K
24459, <=50K, <=50K
24460, <=50K, <=50K
24461, <=50K, <=50K
24462, <=50K, <=50K
24463, <=50K, <=50K
24464, <=50K, <=50K
24465, >50K, >50K
24466, <=50K, <=50K
24467, <=50K, <=50K
24468, <=50K, <=50K
24469, <=50K, <=50K
24470, >50K, <=50K
24471, >50K, <=50K
24472, >50K, <=50K
24473, <=50K, <=50K
24474, <=50K, <=50K
24475, <=50K, <=50K
24476, >50K, <=50K
24477, >50K, >50K
24478, <=50K, <=50K
24479, <=50K, <=50K
24480, <=50K, >50K
24481, >50K, >50K
24482, >50K, <=50K
24483, >50K, <=50K
24484, <=50K, <=50K
24485, >50K, >50K
24486, <=50K, <=50K
24487, <=50K, <=50K
24488, <=50K, <=50K
24489, <=50K, <=50K
24490, <=50K, <=50K
24491, <=50K, <=50K
24492, <=50K, <=50K
24493, >50K, <=50K
24494, <=50K, <=50K
24495, <=50K, <=50K
24496, <=50K, <=50K
24497, >50K, >50K
24498, <=50K, <=50K
24499, <=50K, <=50K
24500, <=50K, <=50K
24501, <=50K, <=50K
24502, <=50K, <=50K
24503, <=50K, <=50K
24504, >50K, <=50K
24505, <=50K, <=50K
24506, <=50K, <=50K
24507, <=50K, <=50K
24508, <=50K, <=50K
24509, <=50K, >50K
24510, >50K, >50K
24511, >50K, >50K
24512, <=50K, <=50K
24513, <=50K, <=50K
24514, >50K, >50K
24515, <=50K, <=50K
24516, <=50K, <=50K
24517, <=50K, <=50K
24518, <=50K, <=50K
24519, <=50K, <=50K
24520, <=50K, <=50K
24521, <=50K, <=50K
24522, >50K, >50K
24523, >50K, >50K
24524, <=50K, <=50K
24525, <=50K, <=50K
24526, >50K, <=50K
24527, <=50K, <=50K
24528, <=50K, >50K
24529, <=50K, <=50K
24530, <=50K, <=50K
24531, <=50K, <=50K
24532, <=50K, <=50K
24533, >50K, <=50K
24534, >50K, <=50K
24535, <=50K, <=50K
24536, >50K, <=50K
24537, <=50K, <=50K
24538, <=50K, <=50K
24539, <=50K, <=50K
24540, <=50K, <=50K
24541, >50K, <=50K
24542, <=50K, <=50K
24543, <=50K, <=50K
24544, <=50K, <=50K
24545, <=50K, <=50K
24546, <=50K, <=50K
24547, >50K, <=50K
24548, <=50K, <=50K
24549, >50K, <=50K
24550, <=50K, >50K
24551, <=50K, <=50K
24552, <=50K, <=50K
24553, <=50K, <=50K
24554, >50K, <=50K
24555, <=50K, <=50K
24556, >50K, <=50K
24557, <=50K, <=50K
24558, <=50K, <=50K
24559, <=50K, <=50K
24560, >50K, <=50K
24561, <=50K, <=50K
24562, <=50K, <=50K
24563, <=50K, <=50K
24564, <=50K, <=50K
24565, >50K, >50K
24566, <=50K, <=50K
24567, >50K, <=50K
24568, <=50K, >50K
24569, >50K, <=50K
24570, <=50K, <=50K
24571, >50K, <=50K
24572, <=50K, <=50K
24573, <=50K, <=50K
24574, <=50K, <=50K
24575, <=50K, <=50K
24576, >50K, <=50K
24577, <=50K, <=50K
24578, <=50K, <=50K
24579, <=50K, <=50K
24580, <=50K, <=50K
24581, <=50K, <=50K
24582, <=50K, <=50K
24583, <=50K, <=50K
24584, <=50K, <=50K
24585, <=50K, <=50K
24586, <=50K, <=50K
24587, <=50K, <=50K
24588, <=50K, <=50K
24589, <=50K, <=50K
24590, >50K, <=50K
24591, <=50K, >50K
24592, <=50K, <=50K
24593, <=50K, <=50K
24594, <=50K, <=50K
24595, <=50K, <=50K
24596, <=50K, <=50K
24597, >50K, >50K
24598, <=50K, <=50K
24599, >50K, <=50K
24600, >50K, >50K
24601, >50K, <=50K
24602, >50K, >50K
24603, >50K, <=50K
24604, <=50K, <=50K
24605, >50K, <=50K
24606, >50K, <=50K
24607, <=50K, <=50K
24608, <=50K, <=50K
24609, <=50K, <=50K
24610, >50K, <=50K
24611, <=50K, <=50K
24612, <=50K, <=50K
24613, <=50K, <=50K
24614, >50K, <=50K
24615, <=50K, <=50K
24616, >50K, <=50K
24617, <=50K, <=50K
24618, <=50K, <=50K
24619, <=50K, <=50K
24620, <=50K, <=50K
24621, <=50K, >50K
24622, <=50K, <=50K
24623, <=50K, <=50K
24624, <=50K, <=50K
24625, >50K, >50K
24626, <=50K, <=50K
24627, <=50K, <=50K
24628, <=50K, <=50K
24629, <=50K, <=50K
24630, >50K, <=50K
24631, >50K, >50K
24632, <=50K, <=50K
24633, <=50K, <=50K
24634, <=50K, <=50K
24635, <=50K, <=50K
24636, <=50K, <=50K
24637, <=50K, <=50K
24638, >50K, >50K
24639, <=50K, <=50K
24640, <=50K, <=50K
24641, >50K, >50K
24642, <=50K, <=50K
24643, >50K, <=50K
24644, <=50K, <=50K
24645, <=50K, <=50K
24646, <=50K, <=50K
24647, <=50K, <=50K
24648, <=50K, <=50K
24649, <=50K, <=50K
24650, <=50K, <=50K
24651, >50K, <=50K
24652, <=50K, <=50K
24653, <=50K, <=50K
24654, >50K, <=50K
24655, <=50K, <=50K
24656, <=50K, >50K
24657, <=50K, <=50K
24658, <=50K, <=50K
24659, >50K, <=50K
24660, <=50K, <=50K
24661, <=50K, <=50K
24662, >50K, >50K
24663, <=50K, <=50K
24664, <=50K, <=50K
24665, >50K, <=50K
24666, >50K, <=50K
24667, <=50K, <=50K
24668, <=50K, <=50K
24669, >50K, <=50K
24670, <=50K, <=50K
24671, <=50K, <=50K
24672, <=50K, >50K
24673, >50K, >50K
24674, <=50K, <=50K
24675, <=50K, <=50K
24676, >50K, <=50K
24677, <=50K, <=50K
24678, <=50K, <=50K
24679, >50K, <=50K
24680, <=50K, <=50K
24681, <=50K, <=50K
24682, <=50K, <=50K
24683, >50K, <=50K
24684, <=50K, <=50K
24685, <=50K, <=50K
24686, <=50K, <=50K
24687, <=50K, <=50K
24688, <=50K, <=50K
24689, >50K, <=50K
24690, <=50K, <=50K
24691, <=50K, <=50K
24692, <=50K, <=50K
24693, <=50K, <=50K
24694, <=50K, <=50K
24695, >50K, <=50K
24696, <=50K, <=50K
24697, <=50K, <=50K
24698, <=50K, <=50K
24699, <=50K, <=50K
24700, <=50K, <=50K
24701, >50K, <=50K
24702, <=50K, <=50K
24703, <=50K, <=50K
24704, <=50K, <=50K
24705, <=50K, <=50K
24706, <=50K, <=50K
24707, <=50K, <=50K
24708, <=50K, <=50K
24709, >50K, >50K
24710, <=50K, <=50K
24711, <=50K, <=50K
24712, <=50K, <=50K
24713, >50K, >50K
24714, <=50K, <=50K
24715, <=50K, <=50K
24716, <=50K, <=50K
24717, <=50K, <=50K
24718, <=50K, <=50K
24719, <=50K, <=50K
24720, <=50K, <=50K
24721, <=50K, <=50K
24722, >50K, <=50K
24723, <=50K, <=50K
24724, <=50K, <=50K
24725, <=50K, <=50K
24726, <=50K, <=50K
24727, >50K, <=50K
24728, <=50K, <=50K
24729, >50K, <=50K
24730, <=50K, <=50K
24731, <=50K, <=50K
24732, >50K, <=50K
24733, <=50K, <=50K
24734, >50K, <=50K
24735, <=50K, >50K
24736, <=50K, <=50K
24737, <=50K, <=50K
24738, >50K, >50K
24739, <=50K, <=50K
24740, <=50K, <=50K
24741, >50K, >50K
24742, >50K, <=50K
24743, <=50K, <=50K
24744, >50K, >50K
24745, <=50K, <=50K
24746, >50K, <=50K
24747, <=50K, <=50K
24748, <=50K, <=50K
24749, >50K, <=50K
24750, <=50K, <=50K
24751, <=50K, <=50K
24752, <=50K, <=50K
24753, <=50K, <=50K
24754, <=50K, <=50K
24755, <=50K, <=50K
24756, <=50K, <=50K
24757, <=50K, <=50K
24758, <=50K, <=50K
24759, <=50K, <=50K
24760, <=50K, <=50K
24761, <=50K, <=50K
24762, <=50K, <=50K
24763, <=50K, <=50K
24764, <=50K, <=50K
24765, <=50K, <=50K
24766, <=50K, <=50K
24767, <=50K, <=50K
24768, <=50K, <=50K
24769, <=50K, <=50K
24770, >50K, <=50K
24771, <=50K, <=50K
24772, <=50K, >50K
24773, <=50K, <=50K
24774, <=50K, <=50K
24775, <=50K, <=50K
24776, <=50K, <=50K
24777, <=50K, <=50K
24778, >50K, <=50K
24779, <=50K, <=50K
24780, >50K, >50K
24781, <=50K, <=50K
24782, <=50K, <=50K
24783, <=50K, <=50K
24784, <=50K, <=50K
24785, <=50K, <=50K
24786, <=50K, <=50K
24787, <=50K, <=50K
24788, <=50K, <=50K
24789, <=50K, <=50K
24790, >50K, >50K
24791, <=50K, >50K
24792, <=50K, <=50K
24793, <=50K, <=50K
24794, <=50K, <=50K
24795, <=50K, <=50K
24796, <=50K, <=50K
24797, <=50K, <=50K
24798, <=50K, <=50K
24799, <=50K, >50K
24800, >50K, >50K
24801, <=50K, <=50K
24802, <=50K, <=50K
24803, <=50K, <=50K
24804, <=50K, <=50K
24805, <=50K, <=50K
24806, <=50K, <=50K
24807, <=50K, <=50K
24808, <=50K, <=50K
24809, <=50K, <=50K
24810, >50K, >50K
24811, <=50K, <=50K
24812, <=50K, <=50K
24813, <=50K, <=50K
24814, <=50K, <=50K
24815, >50K, <=50K
24816, <=50K, <=50K
24817, <=50K, <=50K
24818, <=50K, <=50K
24819, <=50K, <=50K
24820, <=50K, <=50K
24821, <=50K, <=50K
24822, <=50K, <=50K
24823, <=50K, <=50K
24824, <=50K, <=50K
24825, <=50K, <=50K
24826, >50K, <=50K
24827, <=50K, <=50K
24828, <=50K, <=50K
24829, <=50K, <=50K
24830, <=50K, <=50K
24831, <=50K, <=50K
24832, <=50K, <=50K
24833, <=50K, <=50K
24834, <=50K, <=50K
24835, >50K, <=50K
24836, <=50K, <=50K
24837, <=50K, <=50K
24838, <=50K, <=50K
24839, >50K, <=50K
24840, >50K, <=50K
24841, <=50K, <=50K
24842, <=50K, <=50K
24843, <=50K, <=50K
24844, <=50K, <=50K
24845, <=50K, <=50K
24846, <=50K, <=50K
24847, >50K, >50K
24848, <=50K, >50K
24849, <=50K, <=50K
24850, >50K, >50K
24851, <=50K, <=50K
24852, <=50K, <=50K
24853, <=50K, <=50K
24854, <=50K, <=50K
24855, <=50K, <=50K
24856, <=50K, <=50K
24857, <=50K, <=50K
24858, >50K, <=50K
24859, >50K, >50K
24860, <=50K, <=50K
24861, <=50K, <=50K
24862, <=50K, <=50K
24863, <=50K, <=50K
24864, >50K, >50K
24865, <=50K, <=50K
24866, >50K, <=50K
24867, <=50K, <=50K
24868, <=50K, <=50K
24869, <=50K, <=50K
24870, <=50K, <=50K
24871, <=50K, <=50K
24872, <=50K, <=50K
24873, <=50K, <=50K
24874, >50K, <=50K
24875, <=50K, <=50K
24876, <=50K, <=50K
24877, <=50K, <=50K
24878, <=50K, <=50K
24879, <=50K, <=50K
24880, <=50K, <=50K
24881, <=50K, <=50K
24882, <=50K, <=50K
24883, <=50K, >50K
24884, <=50K, <=50K
24885, <=50K, <=50K
24886, <=50K, <=50K
24887, <=50K, <=50K
24888, >50K, <=50K
24889, <=50K, <=50K
24890, <=50K, <=50K
24891, >50K, <=50K
24892, <=50K, <=50K
24893, <=50K, <=50K
24894, >50K, <=50K
24895, >50K, <=50K
24896, <=50K, <=50K
24897, <=50K, <=50K
24898, <=50K, <=50K
24899, <=50K, <=50K
24900, >50K, <=50K
24901, <=50K, <=50K
24902, >50K, >50K
24903, <=50K, <=50K
24904, <=50K, <=50K
24905, <=50K, <=50K
24906, >50K, <=50K
24907, >50K, <=50K
24908, <=50K, <=50K
24909, <=50K, <=50K
24910, <=50K, <=50K
24911, <=50K, <=50K
24912, <=50K, <=50K
24913, <=50K, <=50K
24914, <=50K, <=50K
24915, <=50K, >50K
24916, <=50K, <=50K
24917, <=50K, <=50K
24918, <=50K, <=50K
24919, >50K, <=50K
24920, <=50K, <=50K
24921, <=50K, <=50K
24922, <=50K, <=50K
24923, <=50K, <=50K
24924, <=50K, <=50K
24925, >50K, <=50K
24926, <=50K, <=50K
24927, <=50K, <=50K
24928, <=50K, <=50K
24929, <=50K, <=50K
24930, <=50K, <=50K
24931, >50K, >50K
24932, <=50K, <=50K
24933, >50K, >50K
24934, <=50K, <=50K
24935, <=50K, <=50K
24936, >50K, >50K
24937, >50K, <=50K
24938, <=50K, <=50K
24939, <=50K, <=50K
24940, >50K, >50K
24941, <=50K, <=50K
24942, <=50K, <=50K
24943, >50K, >50K
24944, <=50K, <=50K
24945, <=50K, <=50K
24946, <=50K, <=50K
24947, <=50K, <=50K
24948, <=50K, <=50K
24949, <=50K, <=50K
24950, <=50K, <=50K
24951, <=50K, <=50K
24952, <=50K, <=50K
24953, <=50K, <=50K
24954, <=50K, <=50K
24955, <=50K, <=50K
24956, <=50K, >50K
24957, <=50K, <=50K
24958, <=50K, <=50K
24959, >50K, <=50K
24960, <=50K, <=50K
24961, >50K, <=50K
24962, <=50K, <=50K
24963, <=50K, <=50K
24964, <=50K, <=50K
24965, <=50K, <=50K
24966, <=50K, <=50K
24967, <=50K, <=50K
24968, >50K, >50K
24969, <=50K, <=50K
24970, <=50K, <=50K
24971, <=50K, <=50K
24972, <=50K, <=50K
24973, <=50K, <=50K
24974, <=50K, <=50K
24975, >50K, <=50K
24976, <=50K, <=50K
24977, <=50K, <=50K
24978, <=50K, <=50K
24979, <=50K, <=50K
24980, <=50K, <=50K
24981, <=50K, <=50K
24982, <=50K, <=50K
24983, >50K, >50K
24984, <=50K, >50K
24985, <=50K, <=50K
24986, <=50K, <=50K
24987, <=50K, <=50K
24988, <=50K, <=50K
24989, >50K, >50K
24990, <=50K, <=50K
24991, <=50K, <=50K
24992, <=50K, <=50K
24993, >50K, <=50K
24994, <=50K, <=50K
24995, <=50K, <=50K
24996, <=50K, <=50K
24997, <=50K, <=50K
24998, <=50K, <=50K
24999, <=50K, <=50K
25000, <=50K, <=50K
25001, <=50K, <=50K
25002, <=50K, <=50K
25003, <=50K, <=50K
25004, <=50K, <=50K
25005, <=50K, <=50K
25006, >50K, >50K
25007, <=50K, <=50K
25008, <=50K, <=50K
25009, <=50K, <=50K
25010, <=50K, <=50K
25011, <=50K, <=50K
25012, >50K, <=50K
25013, <=50K, <=50K
25014, <=50K, <=50K
25015, <=50K, <=50K
25016, <=50K, <=50K
25017, <=50K, <=50K
25018, <=50K, <=50K
25019, >50K, <=50K
25020, <=50K, <=50K
25021, <=50K, <=50K
25022, >50K, <=50K
25023, >50K, <=50K
25024, <=50K, <=50K
25025, <=50K, <=50K
25026, <=50K, >50K
25027, <=50K, <=50K
25028, <=50K, <=50K
25029, <=50K, <=50K
25030, <=50K, <=50K
25031, <=50K, <=50K
25032, <=50K, <=50K
25033, <=50K, <=50K
25034, <=50K, <=50K
25035, >50K, <=50K
25036, <=50K, <=50K
25037, >50K, <=50K
25038, <=50K, <=50K
25039, >50K, >50K
25040, <=50K, <=50K
25041, <=50K, <=50K
25042, <=50K, >50K
25043, <=50K, <=50K
25044, <=50K, <=50K
25045, <=50K, <=50K
25046, <=50K, <=50K
25047, <=50K, <=50K
25048, <=50K, <=50K
25049, <=50K, <=50K
25050, <=50K, <=50K
25051, <=50K, <=50K
25052, <=50K, <=50K
25053, <=50K, <=50K
25054, <=50K, <=50K
25055, >50K, <=50K
25056, <=50K, <=50K
25057, >50K, >50K
25058, <=50K, <=50K
25059, <=50K, <=50K
25060, <=50K, <=50K
25061, >50K, <=50K
25062, <=50K, <=50K
25063, >50K, >50K
25064, <=50K, <=50K
25065, >50K, <=50K
25066, <=50K, <=50K
25067, <=50K, <=50K
25068, <=50K, <=50K
25069, >50K, >50K
25070, <=50K, <=50K
25071, <=50K, <=50K
25072, >50K, <=50K
25073, <=50K, <=50K
25074, <=50K, <=50K
25075, <=50K, <=50K
25076, <=50K, <=50K
25077, <=50K, <=50K
25078, <=50K, <=50K
25079, >50K, <=50K
25080, <=50K, <=50K
25081, <=50K, <=50K
25082, >50K, <=50K
25083, <=50K, <=50K
25084, >50K, <=50K
25085, <=50K, <=50K
25086, <=50K, <=50K
25087, >50K, <=50K
25088, >50K, >50K
25089, <=50K, <=50K
25090, <=50K, <=50K
25091, <=50K, >50K
25092, <=50K, <=50K
25093, <=50K, <=50K
25094, <=50K, <=50K
25095, <=50K, <=50K
25096, <=50K, <=50K
25097, <=50K, <=50K
25098, <=50K, <=50K
25099, <=50K, <=50K
25100, <=50K, <=50K
25101, <=50K, <=50K
25102, <=50K, <=50K
25103, <=50K, <=50K
25104, >50K, <=50K
25105, <=50K, <=50K
25106, <=50K, <=50K
25107, <=50K, <=50K
25108, >50K, >50K
25109, <=50K, <=50K
25110, >50K, >50K
25111, <=50K, <=50K
25112, <=50K, <=50K
25113, <=50K, <=50K
25114, <=50K, <=50K
25115, <=50K, <=50K
25116, <=50K, <=50K
25117, <=50K, <=50K
25118, <=50K, >50K
25119, >50K, <=50K
25120, >50K, >50K
25121, >50K, <=50K
25122, <=50K, <=50K
25123, <=50K, <=50K
25124, <=50K, <=50K
25125, <=50K, <=50K
25126, <=50K, <=50K
25127, <=50K, <=50K
25128, <=50K, <=50K
25129, >50K, <=50K
25130, <=50K, <=50K
25131, <=50K, <=50K
25132, <=50K, <=50K
25133, <=50K, <=50K
25134, <=50K, <=50K
25135, >50K, >50K
25136, <=50K, <=50K
25137, >50K, <=50K
25138, <=50K, <=50K
25139, >50K, <=50K
25140, <=50K, <=50K
25141, >50K, <=50K
25142, <=50K, <=50K
25143, <=50K, <=50K
25144, <=50K, <=50K
25145, <=50K, <=50K
25146, <=50K, <=50K
25147, >50K, <=50K
25148, <=50K, <=50K
25149, >50K, <=50K
25150, >50K, >50K
25151, >50K, <=50K
25152, <=50K, <=50K
25153, <=50K, <=50K
25154, <=50K, <=50K
25155, <=50K, <=50K
25156, <=50K, <=50K
25157, <=50K, <=50K
25158, >50K, <=50K
25159, <=50K, <=50K
25160, >50K, <=50K
25161, <=50K, <=50K
25162, <=50K, <=50K
25163, >50K, >50K
25164, <=50K, <=50K
25165, <=50K, <=50K
25166, <=50K, <=50K
25167, <=50K, <=50K
25168, <=50K, <=50K
25169, <=50K, <=50K
25170, <=50K, <=50K
25171, <=50K, <=50K
25172, >50K, <=50K
25173, <=50K, <=50K
25174, >50K, <=50K
25175, <=50K, <=50K
25176, <=50K, <=50K
25177, <=50K, <=50K
25178, >50K, >50K
25179, <=50K, <=50K
25180, >50K, <=50K
25181, <=50K, <=50K
25182, <=50K, <=50K
25183, <=50K, <=50K
25184, <=50K, <=50K
25185, <=50K, <=50K
25186, <=50K, <=50K
25187, <=50K, <=50K
25188, <=50K, <=50K
25189, <=50K, <=50K
25190, >50K, <=50K
25191, <=50K, <=50K
25192, <=50K, <=50K
25193, <=50K, <=50K
25194, <=50K, <=50K
25195, >50K, >50K
25196, <=50K, <=50K
25197, <=50K, <=50K
25198, <=50K, <=50K
25199, <=50K, >50K
25200, <=50K, <=50K
25201, <=50K, <=50K
25202, <=50K, <=50K
25203, <=50K, <=50K
25204, <=50K, <=50K
25205, <=50K, <=50K
25206, <=50K, <=50K
25207, <=50K, <=50K
25208, <=50K, <=50K
25209, >50K, <=50K
25210, <=50K, <=50K
25211, >50K, <=50K
25212, <=50K, <=50K
25213, <=50K, <=50K
25214, <=50K, <=50K
25215, >50K, >50K
25216, <=50K, <=50K
25217, <=50K, <=50K
25218, <=50K, <=50K
25219, <=50K, <=50K
25220, <=50K, <=50K
25221, <=50K, <=50K
25222, >50K, >50K
25223, <=50K, <=50K
25224, <=50K, <=50K
25225, <=50K, <=50K
25226, >50K, <=50K
25227, <=50K, <=50K
25228, <=50K, <=50K
25229, <=50K, <=50K
25230, <=50K, >50K
25231, <=50K, <=50K
25232, <=50K, >50K
25233, <=50K, <=50K
25234, <=50K, <=50K
25235, <=50K, <=50K
25236, >50K, <=50K
25237, <=50K, <=50K
25238, <=50K, <=50K
25239, <=50K, <=50K
25240, <=50K, <=50K
25241, <=50K, <=50K
25242, <=50K, <=50K
25243, >50K, >50K
25244, <=50K, <=50K
25245, <=50K, <=50K
25246, <=50K, <=50K
25247, <=50K, <=50K
25248, <=50K, <=50K
25249, >50K, <=50K
25250, >50K, >50K
25251, <=50K, >50K
25252, <=50K, <=50K
25253, <=50K, >50K
25254, <=50K, <=50K
25255, >50K, >50K
25256, <=50K, <=50K
25257, <=50K, <=50K
25258, <=50K, <=50K
25259, >50K, >50K
25260, >50K, >50K
25261, >50K, >50K
25262, <=50K, <=50K
25263, <=50K, <=50K
25264, <=50K, <=50K
25265, <=50K, <=50K
25266, <=50K, <=50K
25267, <=50K, <=50K
25268, <=50K, <=50K
25269, <=50K, <=50K
25270, <=50K, <=50K
25271, >50K, <=50K
25272, <=50K, <=50K
25273, <=50K, <=50K
25274, >50K, >50K
25275, >50K, >50K
25276, <=50K, <=50K
25277, <=50K, <=50K
25278, <=50K, <=50K
25279, <=50K, <=50K
25280, >50K, <=50K
25281, >50K, <=50K
25282, <=50K, <=50K
25283, >50K, <=50K
25284, <=50K, <=50K
25285, <=50K, <=50K
25286, <=50K, <=50K
25287, >50K, >50K
25288, >50K, >50K
25289, <=50K, <=50K
25290, >50K, <=50K
25291, <=50K, <=50K
25292, <=50K, <=50K
25293, <=50K, <=50K
25294, <=50K, <=50K
25295, <=50K, <=50K
25296, <=50K, <=50K
25297, <=50K, <=50K
25298, <=50K, <=50K
25299, <=50K, <=50K
25300, <=50K, <=50K
25301, <=50K, <=50K
25302, >50K, <=50K
25303, <=50K, <=50K
25304, <=50K, <=50K
25305, <=50K, <=50K
25306, >50K, <=50K
25307, <=50K, <=50K
25308, <=50K, <=50K
25309, <=50K, >50K
25310, <=50K, <=50K
25311, >50K, >50K
25312, >50K, <=50K
25313, >50K, >50K
25314, <=50K, <=50K
25315, >50K, <=50K
25316, >50K, <=50K
25317, <=50K, <=50K
25318, <=50K, <=50K
25319, >50K, <=50K
25320, >50K, <=50K
25321, <=50K, >50K
25322, <=50K, <=50K
25323, <=50K, <=50K
25324, >50K, <=50K
25325, <=50K, <=50K
25326, <=50K, <=50K
25327, >50K, <=50K
25328, <=50K, <=50K
25329, <=50K, <=50K
25330, <=50K, <=50K
25331, <=50K, <=50K
25332, >50K, <=50K
25333, <=50K, <=50K
25334, <=50K, <=50K
25335, >50K, >50K
25336, >50K, <=50K
25337, <=50K, >50K
25338, <=50K, <=50K
25339, <=50K, <=50K
25340, <=50K, <=50K
25341, <=50K, <=50K
25342, <=50K, <=50K
25343, <=50K, <=50K
25344, <=50K, <=50K
25345, <=50K, <=50K
25346, <=50K, <=50K
25347, <=50K, <=50K
25348, <=50K, <=50K
25349, <=50K, <=50K
25350, <=50K, <=50K
25351, <=50K, <=50K
25352, <=50K, <=50K
25353, <=50K, <=50K
25354, <=50K, <=50K
25355, <=50K, <=50K
25356, >50K, >50K
25357, <=50K, <=50K
25358, <=50K, <=50K
25359, >50K, >50K
25360, >50K, <=50K
25361, <=50K, >50K
25362, <=50K, <=50K
25363, <=50K, <=50K
25364, >50K, >50K
25365, <=50K, <=50K
25366, <=50K, <=50K
25367, <=50K, <=50K
25368, <=50K, <=50K
25369, >50K, <=50K
25370, <=50K, <=50K
25371, <=50K, <=50K
25372, >50K, >50K
25373, <=50K, <=50K
25374, <=50K, <=50K
25375, <=50K, <=50K
25376, <=50K, <=50K
25377, <=50K, >50K
25378, >50K, >50K
25379, <=50K, <=50K
25380, <=50K, <=50K
25381, >50K, <=50K
25382, <=50K, <=50K
25383, >50K, <=50K
25384, <=50K, <=50K
25385, <=50K, <=50K
25386, <=50K, <=50K
25387, <=50K, <=50K
25388, <=50K, <=50K
25389, <=50K, <=50K
25390, <=50K, <=50K
25391, <=50K, <=50K
25392, <=50K, <=50K
25393, <=50K, <=50K
25394, >50K, >50K
25395, <=50K, <=50K
25396, <=50K, <=50K
25397, <=50K, <=50K
25398, <=50K, <=50K
25399, >50K, >50K
25400, <=50K, <=50K
25401, <=50K, <=50K
25402, <=50K, <=50K
25403, <=50K, <=50K
25404, <=50K, <=50K
25405, <=50K, <=50K
25406, <=50K, <=50K
25407, <=50K, <=50K
25408, <=50K, >50K
25409, <=50K, <=50K
25410, <=50K, <=50K
25411, >50K, <=50K
25412, <=50K, <=50K
25413, <=50K, <=50K
25414, >50K, >50K
25415, <=50K, <=50K
25416, >50K, <=50K
25417, <=50K, >50K
25418, <=50K, <=50K
25419, <=50K, <=50K
25420, <=50K, <=50K
25421, <=50K, <=50K
25422, >50K, <=50K
25423, >50K, <=50K
25424, >50K, <=50K
25425, >50K, <=50K
25426, >50K, <=50K
25427, <=50K, <=50K
25428, <=50K, <=50K
25429, >50K, >50K
25430, <=50K, <=50K
25431, <=50K, <=50K
25432, <=50K, <=50K
25433, <=50K, <=50K
25434, >50K, >50K
25435, <=50K, <=50K
25436, >50K, <=50K
25437, >50K, >50K
25438, >50K, >50K
25439, >50K, <=50K
25440, <=50K, <=50K
25441, <=50K, <=50K
25442, <=50K, <=50K
25443, <=50K, <=50K
25444, <=50K, >50K
25445, <=50K, <=50K
25446, <=50K, <=50K
25447, <=50K, <=50K
25448, <=50K, <=50K
25449, >50K, >50K
25450, <=50K, <=50K
25451, <=50K, <=50K
25452, <=50K, >50K
25453, <=50K, <=50K
25454, <=50K, <=50K
25455, <=50K, <=50K
25456, >50K, >50K
25457, <=50K, <=50K
25458, <=50K, <=50K
25459, <=50K, <=50K
25460, >50K, <=50K
25461, <=50K, <=50K
25462, <=50K, <=50K
25463, <=50K, <=50K
25464, <=50K, <=50K
25465, >50K, >50K
25466, <=50K, <=50K
25467, <=50K, <=50K
25468, <=50K, <=50K
25469, <=50K, <=50K
25470, <=50K, <=50K
25471, >50K, <=50K
25472, <=50K, <=50K
25473, <=50K, <=50K
25474, <=50K, <=50K
25475, <=50K, <=50K
25476, >50K, <=50K
25477, <=50K, <=50K
25478, <=50K, <=50K
25479, <=50K, <=50K
25480, <=50K, <=50K
25481, >50K, >50K
25482, >50K, <=50K
25483, <=50K, <=50K
25484, <=50K, <=50K
25485, <=50K, <=50K
25486, <=50K, <=50K
25487, <=50K, <=50K
25488, <=50K, <=50K
25489, <=50K, <=50K
25490, <=50K, <=50K
25491, >50K, >50K
25492, <=50K, <=50K
25493, <=50K, <=50K
25494, <=50K, <=50K
25495, <=50K, <=50K
25496, <=50K, <=50K
25497, <=50K, <=50K
25498, <=50K, <=50K
25499, <=50K, <=50K
25500, <=50K, <=50K
25501, >50K, >50K
25502, <=50K, <=50K
25503, >50K, <=50K
25504, <=50K, <=50K
25505, <=50K, <=50K
25506, <=50K, <=50K
